time,temperature
2019-03-06 19:15:00,69.36
2019-03-06 19:30:00,68.17
2019-03-06 19:45:00,67.24
2019-03-06 20:00:00,67.10
2019-03-06 20:15:00,67.11
2019-03-06 20:30:00,67.05
2019-03-06 20:45:00,67.02
2019-03-06 21:00:00,66.85
2019-03-06 21:15:00,65.83
2019-03-06 21:30:00,64.94
2019-03-06 21:45:00,64.75
2019-03-06 22:00:00,64.45
2019-03-06 22:15:00,64.50
2019-03-06 22:30:00,64.41
2019-03-06 22:45:00,64.40
2019-03-06 23:00:00,64.24
2019-03-06 23:15:00,64.10
2019-03-06 23:30:00,64.05
2019-03-06 23:45:00,64.02
2019-03-07 00:00:00,64.06
2019-03-07 00:15:00,63.94
2019-03-07 00:30:00,63.79
2019-03-07 00:45:00,63.92
2019-03-07 01:00:00,63.92
2019-03-07 01:15:00,63.79
2019-03-07 01:30:00,63.87
2019-03-07 01:45:00,63.80
2019-03-07 02:00:00,63.80
2019-03-07 02:15:00,64.71
2019-03-07 02:30:00,65.07
2019-03-07 02:45:00,65.04
2019-03-07 03:00:00,64.52
2019-03-07 03:15:00,64.50
2019-03-07 03:30:00,64.26
2019-03-07 03:45:00,64.48
2019-03-07 04:00:00,64.48
2019-03-07 04:15:00,64.30
2019-03-07 04:30:00,64.57
2019-03-07 04:45:00,64.81
2019-03-07 05:00:00,65.13
2019-03-07 05:15:00,65.86
2019-03-07 05:30:00,68.22
2019-03-07 05:45:00,68.30
2019-03-07 06:00:00,69.62
2019-03-07 06:15:00,70.16
2019-03-07 06:30:00,70.08
2019-03-07 06:45:00,70.76
2019-03-07 07:00:00,70.11
2019-03-07 07:15:00,70.70
2019-03-07 07:30:00,70.45
2019-03-07 07:45:00,70.68
2019-03-07 08:00:00,70.98
2019-03-07 08:15:00,70.86
2019-03-07 08:30:00,71.31
2019-03-07 08:45:00,71.05
2019-03-07 09:00:00,70.78
2019-03-07 09:15:00,70.68
2019-03-07 09:30:00,70.52
2019-03-07 09:45:00,70.45
2019-03-07 10:00:00,70.30
2019-03-07 10:15:00,70.53
2019-03-07 10:30:00,70.54
2019-03-07 10:45:00,70.54
2019-03-07 11:00:00,71.07
2019-03-07 11:15:00,71.07
2019-03-07 11:30:00,72.18
2019-03-07 11:45:00,71.60
2019-03-07 12:00:00,71.49
2019-03-07 12:15:00,71.79
2019-03-07 12:30:00,71.71
2019-03-07 12:45:00,71.94
2019-03-07 13:00:00,71.86
2019-03-07 13:15:00,71.95
2019-03-07 13:30:00,71.94
2019-03-07 13:45:00,71.89
2019-03-07 14:00:00,72.12
2019-03-07 14:15:00,71.85
2019-03-07 14:30:00,72.22
2019-03-07 14:45:00,72.22
2019-03-07 15:00:00,72.43
2019-03-07 15:15:00,72.55
2019-03-07 15:30:00,72.66
2019-03-07 15:45:00,72.78
2019-03-07 16:00:00,73.08
2019-03-07 16:15:00,72.85
2019-03-07 16:30:00,72.78
2019-03-07 16:45:00,75.60
2019-03-07 17:00:00,72.64
2019-03-07 17:15:00,71.97
2019-03-07 17:30:00,71.84
2019-03-07 17:45:00,71.71
2019-03-07 18:00:00,71.46
2019-03-07 18:15:00,71.60
2019-03-07 18:30:00,71.42
2019-03-07 18:45:00,71.40
2019-03-07 19:00:00,71.02
2019-03-07 19:15:00,70.03
2019-03-07 19:30:00,69.08
